,year,tool,citation,index,global,local,technology,read.length
51,2008,QPALMA,173,suffix array,seed,Smith-Waterman,RNA-Seq,No
52,2009,RazerS,177,hashing,seed,DP,DNA,No
53,2012,RazerS3,101,hashing,seed,DP,DNA,No
54,2016,rHAT,13,hashing,seed ,DP,DNA,Yes
55,2008,RMAP,380,hashing,seed,NA,DNA,No
56,2009,segemehl,421,suffix array,Backward Search,DP,DNA,No
57,2012,SeqAlto,46,hashing,seed,Needleman-Wunsch,DNA,No
58,2008,SeqMap,402,hashing,seed,Not specified,DNA,No
59,2009,SHRiMP,609,hashing,chain of seeds,Smith-Waterman,DNA,No
60,2011,SHRiMP2,333,hashing,chain of seeds,Smith-Waterman,DNA,No
61,2009,Slider,65,hashing,seed,Not specified,DNA,No
62,2010,Slider II,60,hashing,seed,Not specified,DNA,No
63,2010,Smalt,,hashing,seed,Smith-Waterman,DNA,No
64,2011,SNAP,107,hashing,seed,DP,DNA,No
65,2008,SOAP,1939,hashing,seed,Not specified,DNA,No
66,2009,SOAP2,2826,BWT-FM,seed,Not specified,DNA,No
67,2011,SOAPSplice,112,BWT-FM,seed,Not specified,RNA-Seq,No
68,2008,SOCS,119,hashing,seed,Not specified,DNA,No
69,2012,SplazerS,59,hashing,seed,Not specified,DNA,No
70,2010,SpliceMap,335,hashing,seed,Not specified,RNA-Seq,No
71,2013,SRmapper,18,hashing,seed,Not specified,DNA,No
72,2001,SSAHA,1093,hashing,seed,Not specified,DNA,No
73,2011,Stampy,880,hashing,seed,Needleman-Wunsch,DNA,No
74,2013,STAR,6021,suffix array,seed,Smith-Waterman,RNA-Seq,No
75,2013,Subread,775,hashing,seed,Smith-Waterman,RNA-Seq,No
76,2010,Supersplat,58,hashing,seed,Not specified,RNA-Seq,No
77,2009,TopHat,8395,BWT-FM,seed,Not specified,RNA-Seq,No
78,2013,TopHat 2,6072,BWT-FM,seed,Not specified,RNA-Seq,No
79,2010,VMATCH,65,suffix array,seed,Not specified,DNA,No
80,2012,WHAM,58,hashing,seed,Not specified,DNA,No
81,2011,X-Mate,15,hashing,seed,Not specified,DNA,No
82,2012,YAHA,44,hashing,seed,Smith-Waterman,DNA,Yes
83,2008,ZOOM,261,hashing,seed,Not specified,DNA,No
84,2018,minimap2,153,hashing,seed,Not specified,DNA/RNA-Seq,Yes
85,2016,minialign,172,hashing,seed,Not specified,DNA,Yes
86,2016,GraphMap,127,hashing,seed,Not specified,DNA,Yes
87,2011,LAST,480,suffix array,seed,Not specified,DNA,No
88,2003,BLASTZ?,1339,hashing,seed,Not specified,DNA,No
89,2018,NGMLR,71,hashing,seed,Not specified,DNA,Yes
90,2016,NanoBLASTer,5,hashing,seed,Not specified,DNA,Yes
91,2018,lordFAST,0,BWT-FM,seed,levenshein distance,DNA,Yes
92,2018,Magic-BLAST,3,hashing,seed,DP,DNA/RNA-Seq,Yes
